client_id,visitor_id,visit_id,process_step,date_time
16549,784001246_8842193453,64524171_30897881403_51439,confirm,2017-04-08 16:54:53
16679,969102987_82457129532,204164301_17766221239_325215,start,2017-03-22 11:48:16
16679,959665218_67396459252,631094538_40934578387_732941,start,2017-03-22 19:19:13
16679,959665218_67396459252,631094538_40934578387_732941,step_1,2017-03-22 19:19:33
16679,959665218_67396459252,631094538_40934578387_732941,step_2,2017-03-22 19:19:39
21403,936232950_57093894746,196015311_82346028233_983442,start,2017-04-05 20:06:36
21522,956380374_35738784925,671119707_17530009618_73156,start,2017-04-08 07:42:52
21522,956380374_35738784925,671119707_17530009618_73156,step_1,2017-04-08 07:43:51
21522,956380374_35738784925,671119707_17530009618_73156,start,2017-04-08 07:44:09
24443,506118219_28700413405,333132662_67000308675_723690,start,2017-04-05 11:33:55
24443,506118219_28700413405,333132662_67000308675_723690,step_1,2017-04-05 11:34:11
24443,506118219_28700413405,333132662_67000308675_723690,step_2,2017-04-05 11:35:02
24443,506118219_28700413405,333132662_67000308675_723690,start,2017-04-05 11:37:33
24443,506118219_28700413405,333132662_67000308675_723690,start,2017-04-05 11:37:50
24443,506118219_28700413405,333132662_67000308675_723690,start,2017-04-05 11:37:55
24443,506118219_28700413405,333132662_67000308675_723690,step_2,2017-04-05 11:37:57
24443,506118219_28700413405,333132662_67000308675_723690,step_1,2017-04-05 11:37:59
24491,545226336_77865514544,681199712_70991726294_7139,start,2017-04-08 19:07:54
24586,944961472_46621783852,741423340_10380940274_859313,start,2017-03-29 14:55:52
24586,944961472_46621783852,741423340_10380940274_859313,step_1,2017-03-29 14:56:03
24586,944961472_46621783852,741423340_10380940274_859313,step_2,2017-03-29 14:56:32
24586,944961472_46621783852,741423340_10380940274_859313,step_3,2017-03-29 14:58:22
24586,944961472_46621783852,949080509_87806021331_968011,start,2017-04-02 10:52:50
26196,965901550_39146293927,961198520_50076432277_196377,confirm,2017-04-04 09:38:03
26196,965901550_39146293927,23832084_10198197203_274252,start,2017-04-09 13:03:29
26196,965901550_39146293927,23832084_10198197203_274252,start,2017-04-09 13:04:19
